what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576979370827
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576979372627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576979427639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979431271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576979462365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576979462797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576979472383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979480763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1576979491318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979505366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979519832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979551147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979563809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576979572953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979585305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979656098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576979884184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979887335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1576979896818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1576979906073
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576979914054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576979916797
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576979919819
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576979921216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576979923144
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1576979926201
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1576979927789
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1576979928291
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1576979928401
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1576979928738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979930193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979930674
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1576979930676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979933071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979948739
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576979950667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979953917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979955137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576979964982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576979986940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576979988800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576979991187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576979992186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980018655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576980019895
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576980029318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576980041606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980043326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980088439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980090033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980104341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980106598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980140365
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576980144755
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576980146458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576980147909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1576980160856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576980164468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576980171342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980173622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980184400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980186560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980189368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576980198953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980199910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576980204430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576980228019
